id,text_th,text_en,category,industry_hint,expected_top_match_ids
pq01,อยากลดต้นทุน call center ด้วย AI,Reduce call center cost with AI,cost-reduction,Banking,ex01 | ex15
pq02,ทำ chatbot ภาษาไทยลง LINE OA,Build Thai chatbot for LINE OA,automation,Retail,ex01
pq03,ค้นเอกสารภายในเร็วขึ้นด้วย RAG,Search internal documents faster with RAG,modernization,,
pq04,cloud cost ของเราสูงเกินไป ลดยังไงดี,Our cloud cost is too high how to cut,cost-reduction,,
pq05,อยากทำ smart factory เริ่มจากตรงไหน,Want to build smart factory where to start,modernization,Manufacturing,
pq06,PDPA compliance สำหรับ call recording,PDPA compliance for call recording,compliance,Insurance,
pq07,integration payment ลง LINE app,Integrate payment into LINE app,growth,E-commerce,
pq08,HR automation onboarding พนักงาน,HR automation for employee onboarding,automation,,
pq09,retail analytics จาก in-store cameras,Retail analytics from in-store cameras,growth,Retail,
pq10,solar panel สำหรับโรงงาน ลดค่าไฟ,Solar panel for factory cut electricity,cost-reduction,Manufacturing,
pq11,,,,,
pq12,,,,,
pq13,,,,,
pq14,,,,,
pq15,,,,,
pq16,,,,,
pq17,,,,,
pq18,,,,,
pq19,,,,,
pq20,,,,,
pq21,,,,,
pq22,,,,,
pq23,,,,,
pq24,,,,,
pq25,,,,,
pq26,,,,,
pq27,,,,,
pq28,,,,,
pq29,,,,,
pq30,,,,,
